Name,Status,Description,Priviledge
CVE-2000-0048,Entry,get_it program in Corel Linux Update allows local users to gain root access by specifying an alternate PATH for the cp program.,root
CVE-2000-0050,Entry,The Allaire Spectra Webtop allows authenticated users to access other Webtop sections by specifying explicit URLs.,user
CVE-2000-0051,Entry,The Allaire Spectra Configuration Wizard allows remote attackers to cause a denial of service by repeatedly resubmitting data collections for indexing via a URL.,user
CVE-2000-0052,Entry,Red Hat userhelper program in the usermode package allows local users to gain root access via PAM and a .. (dot dot) attack.,root
CVE-2000-0053,Entry,Microsoft Commercial Internet System (MCIS) IMAP server allows remote attackers to cause a denial of service via a malformed IMAP request.,user
CVE-2000-0056,Entry,IMail IMONITOR status.cgi CGI script allows remote attackers to cause a denial of service with many calls to status.cgi.,user
CVE-2000-0057,Entry,"Cold Fusion CFCACHE tag places temporary cache files within the web document root, allowing remote attackers to obtain sensitive system information.",root
CVE-2000-0060,Entry,Buffer overflow in aVirt Rover POP3 server 1.1 allows remote attackers to cause a denial of service via a long user name.,user
CVE-2000-0062,Entry,The DTML implementation in the Z Object Publishing Environment (Zope) allows remote attackers to conduct unauthorized activities.,user
CVE-2000-0063,Entry,cgiproc CGI script in Nortel Contivity HTTP server allows remote attackers to read arbitrary files by specifying the filename in a parameter to the script.,user
CVE-2000-0064,Entry,cgiproc CGI script in Nortel Contivity HTTP server allows remote attackers to cause a denial of service via a malformed URL that includes shell metacharacters.,user
CVE-2000-0065,Entry,Buffer overflow in InetServ 3.0 allows remote attackers to execute commands via a long GET request.,user
CVE-2000-0070,Entry,"NtImpersonateClientOfPort local procedure call in Windows NT 4.0 allows local users to gain privileges, aka ""Spoofed LPC Port Request.""",user
CVE-2000-0072,Entry,"Visual Casel (Vcasel) does not properly prevent users from executing files, which allows local users to use a relative pathname to specify an alternate file which has an approved name and possibly gain privileges.",user
CVE-2000-0073,Entry,Buffer overflow in Microsoft Rich Text Format (RTF) reader allows attackers to cause a denial of service via a malformed control word.,user
CVE-2000-0075,Entry,"Super Mail Transfer Package (SMTP), later called MsgCore, has a memory leak which allows remote attackers to cause a denial of service by repeating multiple HELO, MAIL FROM, RCPT TO, and DATA commands in the same session.",user
CVE-2000-0076,Entry,nviboot boot script in the Debian nvi package allows local users to delete files via malformed entries in vi.recover.,user
CVE-2000-0080,Entry,AIX techlibss allows local users to overwrite files via a symlink attack.,user
CVE-2000-0083,Entry,"HP asecure creates the Audio Security File audio.sec with insecure permissions, which allows local users to cause a denial of service or gain additional privileges.",user
CVE-2000-0087,Entry,"Netscape Mail Notification (nsnotify) utility in Netscape Communicator uses IMAP without SSL, even if the user has set a preference for Communicator to use an SSL connection, allowing a remote attacker to sniff usernames and passwords in plaintext.",user
CVE-2000-0088,Entry,"Buffer overflow in the conversion utilities for Japanese, Korean and Chinese Word 5 documents allows an attacker to execute commands, aka the ""Malformed Conversion Data"" vulnerability.",user
CVE-2000-0089,Entry,"The rdisk utility in Microsoft Terminal Server Edition and Windows NT 4.0 stores registry hive information in a temporary file with permissions that allow local users to read it, aka the ""RDISK Registry Enumeration File"" vulnerability.",user
CVE-2000-0090,Entry,VMWare 1.1.2 allows local users to cause a denial of service via a symlink attack.,user
CVE-2000-0091,Entry,Buffer overflow in vchkpw/vpopmail POP authentication package allows remote attackers to gain root privileges via a long username or password.,root
CVE-2000-0092,Entry,The BSD make program allows local users to modify files via a symlink attack when the -j option is being used.,user
CVE-2000-0094,Entry,procfs in BSD systems allows local users to gain root privileges by modifying the /proc/pid/mem interface via a modified file descriptor for stderr.,root
CVE-2000-0095,Entry,"The PMTU discovery procedure used by HP-UX 10.30 and 11.00 for determining the optimum MTU generates large amounts of traffic in response to small packets, allowing remote attackers to cause the system to be used as a packet amplifier.",user
CVE-2000-0097,Entry,"The WebHits ISAPI filter in Microsoft Index Server allows remote attackers to read arbitrary files, aka the ""Malformed Hit-Highlighting Argument"" vulnerability.",user
CVE-2000-0098,Entry,Microsoft Index Server allows remote attackers to determine the real path for a web directory via a request to an Internet Data Query file that does not exist.,user
CVE-2000-0099,Entry,Buffer overflow in UnixWare ppptalk command allows local users to gain privileges via a long prompt argument.,user
CVE-2000-0100,Entry,"The SMS Remote Control program is installed with insecure permissions, which allows local users to gain privileges by modifying or replacing the program.",user
CVE-2000-0107,Entry,Linux apcd program allows local attackers to modify arbitrary files via a symlink attack.,user
CVE-2000-0111,Entry,"The RightFax web client uses predictable session numbers, which allows remote attackers to hijack user sessions.",user
CVE-2000-0112,Entry,The default installation of Debian GNU/Linux uses an insecure Master Boot Record (MBR) which allows a local user to boot from a floppy disk during the installation.,user
CVE-2000-0113,Entry,"The SyGate Remote Management program does not properly restrict access to its administration service, which allows remote attackers to cause a denial of service, or access network traffic statistics.",user
CVE-2000-0116,Entry,"Firewall-1 does not properly filter script tags, which allows remote attackers to bypass the ""Strip Script Tags"" restriction by including an extra < in front of the SCRIPT tag.",user
CVE-2000-0117,Entry,"The siteUserMod.cgi program in Cobalt RaQ2 servers allows any Site Administrator to modify passwords for other users, site administrators, and possibly admin (root).",root
CVE-2000-0120,Entry,The Remote Access Service invoke.cfm template in Allaire Spectra 1.0 allows users to bypass authentication via the bAuthenticated parameter.,user
CVE-2000-0121,Entry,"The Recycle Bin utility in Windows NT and Windows 2000 allows local users to read or modify files by creating a subdirectory with the victim's SID in the recycler directory, aka the ""Recycle Bin Creation"" vulnerability.",user
CVE-2000-0127,Entry,"The Webspeed configuration program does not properly disable access to the WSMadmin utility, which allows remote attackers to gain privileges via wsisa.dll.",user
CVE-2000-0128,Entry,The Finger Server 0.82 allows remote attackers to execute commands via shell metacharacters.,user
CVE-2000-0130,Entry,Buffer overflow in SCO scohelp program allows remote attackers to execute commands.,user
CVE-2000-0131,Entry,Buffer overflow in War FTPd 1.6x allows users to cause a denial of service via long MKD and CWD commands.,user
CVE-2000-0139,Entry,Internet Anywhere POP3 Mail Server allows local users to cause a denial of service via a malformed RETR command.,user
CVE-2000-0140,Entry,Internet Anywhere POP3 Mail Server allows remote attackers to cause a denial of service via a large number of connections.,user
CVE-2000-0141,Entry,Infopop Ultimate Bulletin Board (UBB) allows remote attackers to execute commands via shell metacharacters in the topic hidden field.,user
CVE-2000-0144,Entry,"Axis 700 Network Scanner does not properly restrict access to administrator URLs, which allows users to bypass the password protection via a .. (dot dot) attack.",user
CVE-2000-0145,Entry,The libguile.so library file used by gnucash in Debian GNU/Linux is installed with world-writable permissions.,user
CVE-2000-0146,Entry,The Java Server in the Novell GroupWise Web Access Enhancement Pack allows remote attackers to cause a denial of service via a long URL to the servlet.,user
CVE-2000-0148,Entry,MySQL 3.22 allows remote attackers to bypass password authentication and access a database via a short check string.,user
CVE-2000-0149,Entry,Zeus web server allows remote attackers to view the source code for CGI programs via a null character (%00) at the end of a URL.,user
CVE-2000-0150,Entry,Check Point Firewall-1 allows remote attackers to bypass port access restrictions on an FTP server by forcing it to send malicious packets that Firewall-1 misinterprets as a valid 227 response to a client's PASV attempt.,user
CVE-2000-0152,Entry,Remote attackers can cause a denial of service in Novell BorderManager 3.5 by pressing the enter key in a telnet connection to port 2000.,user
CVE-2000-0156,Entry,"Internet Explorer 4.x and 5.x allows remote web servers to access files on the client that are outside of its security domain, aka the ""Image Source Redirect"" vulnerability.",user
CVE-2000-0157,Entry,NetBSD ptrace call on VAX allows local users to gain privileges by modifying the PSL contents in the debugging process.,user
CVE-2000-0159,Entry,"HP Ignite-UX does not save /etc/passwd when it creates an image of a trusted system, which can set the password field to a blank and allow an attacker to gain privileges.",user
CVE-2000-0161,Entry,"Sample web sites on Microsoft Site Server 3.0 Commerce Edition do not validate an identification number, which allows remote attackers to execute SQL commands.",user
CVE-2000-0162,Entry,"The Microsoft virtual machine (VM) in Internet Explorer 4.x and 5.x allows a remote attacker to read files via a malicious Java applet that escapes the Java sandbox, aka the ""VM File Reading"" vulnerability.",user
CVE-2000-0164,Entry,The installation of Sun Internet Mail Server (SIMS) creates a world-readable file that allows local users to obtain passwords.,user
CVE-2000-0165,Entry,The Delegate application proxy has several buffer overflows which allow a remote attacker to execute commands.,user
CVE-2000-0166,Entry,Buffer overflow in the InterAccess telnet server TelnetD allows remote attackers to execute commands via a long login name.,user
CVE-2000-0168,Entry,"Microsoft Windows 9x operating systems allow an attacker to cause a denial of service via a pathname that includes file device names, aka the ""DOS Device in Path Name"" vulnerability.",user
CVE-2000-0169,Entry,Batch files in the Oracle web listener ows-bin directory allow remote attackers to execute commands via a malformed URL that includes '?&'.,user
CVE-2000-0170,Entry,Buffer overflow in the man program in Linux allows local users to gain privileges via the MANPAGER environmental variable.,user
CVE-2000-0171,Entry,"atsadc in the atsar package for Linux does not properly check the permissions of an output file, which allows local users to gain root privileges.",root
CVE-2000-0172,Entry,"The mtr program only uses a seteuid call when attempting to drop privileges, which could allow local users to gain root privileges.",root
CVE-2000-0174,Entry,StarOffice StarScheduler web server allows remote attackers to read arbitrary files via a .. (dot dot) attack.,user
CVE-2000-0175,Entry,Buffer overflow in StarOffice StarScheduler web server allows remote attackers to gain root access via a long GET command.,root
CVE-2000-0178,Entry,"ServerIron switches by Foundry Networks have predictable TCP/IP sequence numbers, which allows remote attackers to spoof or hijack sessions.",user
CVE-2000-0179,Entry,HP OpenView OmniBack 2.55 allows remote attackers to cause a denial of service via a large number of connections to port 5555.,user
CVE-2000-0180,Entry,Sojourn search engine allows remote attackers to read arbitrary files via a .. (dot dot) attack.,user
CVE-2000-0181,Entry,"Firewall-1 3.0 and 4.0 leaks packets with private IP address information, which could allow remote attackers to determine the real IP address of the host that is making the connection.",user
CVE-2000-0182,Entry,"iPlanet Web Server 4.1 allows remote attackers to cause a denial of service via a large number of GET commands, which consumes memory and causes a kernel panic.",user
CVE-2000-0183,Entry,Buffer overflow in ircII 4.4 IRC client allows remote attackers to execute commands via the DCC chat capability.,user
CVE-2000-0184,Entry,"Linux printtool sets the permissions of printer configuration files to be world-readable, which allows local attackers to obtain printer share passwords.",user
CVE-2000-0185,Entry,"RealMedia RealServer reveals the real IP address of a Real Server, even if the address is supposed to be private.",user
CVE-2000-0186,Entry,Buffer overflow in the dump utility in the Linux ext2fs backup package allows local users to gain privileges via a long command line argument.,user
CVE-2000-0189,Entry,ColdFusion Server 4.x allows remote attackers to determine the real pathname of the server via an HTTP request to the application.cfm or onrequestend.cfm files.,user
CVE-2000-0191,Entry,Axis StorPoint CD allows remote attackers to access administrator URLs without authentication via a .. (dot dot) attack.,user
CVE-2000-0192,Entry,"The default installation of Caldera OpenLinux 2.3 includes the CGI program rpm_query, which allows remote attackers to determine what packages are installed on the system.",user
CVE-2000-0193,Entry,The default configuration of Dosemu in Corel Linux 1.0 allows local users to execute the system.com program and gain privileges.,user
CVE-2000-0194,Entry,buildxconf in Corel Linux allows local users to modify or create arbitrary files via the -x or -f parameters.,user
CVE-2000-0195,Entry,"setxconf in Corel Linux allows local users to gain root access via the -T parameter, which executes the user's .xserverrc file.",root
CVE-2000-0196,Entry,Buffer overflow in mhshow in the Linux nmh package allows remote attackers to execute commands via malformed MIME headers in an email message.,user
CVE-2000-0200,Entry,"Buffer overflow in Microsoft Clip Art Gallery allows remote attackers to cause a denial of service or execute commands via a malformed CIL (clip art library) file, aka the ""Clip Art Buffer Overrun"" vulnerability.",user
CVE-2000-0201,Entry,"The window.showHelp() method in Internet Explorer 5.x does not restrict HTML help files (.chm) to be executed from the local host, which allows remote attackers to execute arbitrary commands via Microsoft Networking.",user
CVE-2000-0202,Entry,Microsoft SQL Server 7.0 and Microsoft Data Engine (MSDE) 1.0 allow remote attackers to gain privileges via a malformed Select statement in an SQL query.,user
CVE-2000-0206,Entry,"The installation of Oracle 8.1.5.x on Linux follows symlinks and creates the orainstRoot.sh file with world-writeable permissions, which allows local users to gain privileges.",root
CVE-2000-0207,Entry,SGI InfoSearch CGI program infosrch.cgi allows remote attackers to execute commands via shell metacharacters.,user
CVE-2000-0208,Entry,The htdig (ht://Dig) CGI program htsearch allows remote attackers to read arbitrary files by enclosing the file name with backticks (`) in parameters to htsearch.,user
CVE-2000-0209,Entry,Buffer overflow in Lynx 2.x allows remote attackers to crash Lynx and possibly execute commands via a long URL in a malicious web page.,user
CVE-2000-0210,Entry,"The lit program in Sun Flex License Manager (FlexLM) follows symlinks, which allows local users to modify arbitrary files.",user
CVE-2000-0211,Entry,"The Windows Media server allows remote attackers to cause a denial of service via a series of client handshake packets that are sent in an improper sequence, aka the ""Misordered Windows Media Services Handshake"" vulnerability.",user
CVE-2000-0212,Entry,InterAccess TelnetD Server 4.0 allows remote attackers to conduct a denial of service via malformed terminal client configuration information.,user
CVE-2000-0215,Entry,Vulnerability in SCO cu program in UnixWare 7.x allows local users to gain privileges.,user
CVE-2000-0217,Entry,"The default configuration of SSH allows X forwarding, which could allow a remote attacker to control a client's X sessions via a malicious xauth program.",user
CVE-2000-0218,Entry,Buffer overflow in Linux mount and umount allows local users to gain root privileges via a long relative pathname.,root
CVE-2000-0221,Entry,The Nautica Marlin bridge allows remote attackers to cause a denial of service via a zero length UDP packet to the SNMP port.,user
CVE-2000-0222,Entry,"The installation for Windows 2000 does not activate the Administrator password until the system has rebooted, which allows remote attackers to connect to the ADMIN$ share without a password until the reboot occurs.",user
CVE-2000-0223,Entry,Buffer overflow in the wmcdplay CD player program for the WindowMaker desktop allows local users to gain root privileges via a long parameter.,root
CVE-2000-0224,Entry,ARCserve agent in SCO UnixWare 7.x allows local attackers to gain root privileges via a symlink attack.,root
CVE-2000-0225,Entry,"The Pocsag POC32 program does not properly prevent remote users from accessing its server port, even if the option has been disabled.",user
CVE-2000-0226,Entry,"IIS 4.0 allows attackers to cause a denial of service by requesting a large buffer in a POST or PUT command which consumes memory, aka the ""Chunked Transfer Encoding Buffer Overflow Vulnerability.""",user
CVE-2000-0228,Entry,"Microsoft Windows Media License Manager allows remote attackers to cause a denial of service by sending a malformed request that causes the manager to halt, aka the ""Malformed Media License Request"" Vulnerability.",user
CVE-2000-0229,Entry,"gpm-root in the gpm package does not properly drop privileges, which allows local users to gain privileges by starting a utility from gpm-root.",root
CVE-2000-0230,Entry,Buffer overflow in imwheel allows local users to gain root privileges via the imwheel-solo script and a long HOME environmental variable.,root
CVE-2000-0231,Entry,"Linux kreatecd trusts a user-supplied path that is used to find the cdrecord program, allowing local users to gain root privileges.",root
CVE-2000-0232,Entry,"Microsoft TCP/IP Printing Services, aka Print Services for Unix, allows an attacker to cause a denial of service via a malformed TCP/IP print request.",user
CVE-2000-0233,Entry,SuSE Linux IMAP server allows remote attackers to bypass IMAP authentication and gain privileges.,user
CVE-2000-0234,Entry,The default configuration of Cobalt RaQ2 and RaQ3 as specified in access.conf allows remote attackers to view sensitive contents of a .htaccess file.,user
CVE-2000-0235,Entry,Buffer overflow in the huh program in the orville-write package allows local users to gain root privileges.,root
CVE-2000-0236,Entry,Netscape Enterprise Server with Directory Indexing enabled allows remote attackers to list server directories via web publishing tags such as ?wp-ver-info and ?wp-cs-dump.,user
CVE-2000-0237,Entry,"Netscape Enterprise Server with Web Publishing enabled allows remote attackers to list arbitrary directories via a GET request for the /publisher directory, which provides a Java applet that allows the attacker to browse the directories.",user
CVE-2000-0238,Entry,Buffer overflow in the web server for Norton AntiVirus for Internet Email Gateways allows remote attackers to cause a denial of service via a long URL.,user
CVE-2000-0240,Entry,"vqSoft vqServer program allows remote attackers to read arbitrary files via a /........../ in the URL, a variation of a .. (dot dot) attack.",user
CVE-2000-0243,Entry,AnalogX SimpleServer:WWW HTTP server 1.03 allows remote attackers to cause a denial of service via a short GET request to cgi-bin.,user
CVE-2000-0245,Entry,Vulnerability in SGI IRIX objectserver daemon allows remote attackers to create user accounts.,user
CVE-2000-0246,Entry,"IIS 4.0 and 5.0 does not properly perform ISAPI extension processing if a virtual directory is mapped to a UNC share, which allows remote attackers to read the source code of ASP and other files, aka the ""Virtualized UNC Share"" vulnerability.",user
CVE-2000-0247,Entry,Unknown vulnerability in Generic-NQS (GNQS) allows local users to gain root privileges.,root
CVE-2000-0249,Entry,The AIX Fast Response Cache Accelerator (FRCA) allows local users to modify arbitrary files via the configuration capability in the frcactrl program.,user
CVE-2000-0251,Entry,HP-UX 11.04 VirtualVault (VVOS) sends data to unprivileged processes via an interface that has multiple aliased IP addresses.,user
CVE-2000-0252,Entry,The dansie shopping cart application cart.pl allows remote attackers to execute commands via a shell metacharacters in a form variable.,user
CVE-2000-0253,Entry,The dansie shopping cart application cart.pl allows remote attackers to modify sensitive purchase information via hidden form fields.,user
CVE-2000-0254,Entry,"The dansie shopping cart application cart.pl allows remote attackers to obtain the shopping cart database and configuration information via a URL that references either the env, db, or vars form variables.",user
CVE-2000-0255,Entry,The Nbase-Xyplex EdgeBlaster router allows remote attackers to cause a denial of service via a scan for the FormMail CGI program.,user
CVE-2000-0257,Entry,Buffer overflow in the NetWare remote web administration utility allows remote attackers to cause a denial of service or execute commands via a long URL.,user
CVE-2000-0258,Entry,"IIS 4.0 and 5.0 allows remote attackers to cause a denial of service by sending many URLs with a large number of escaped characters, aka the ""Myriad Escaped Characters"" Vulnerability.",user
CVE-2000-0260,Entry,"Buffer overflow in the dvwssr.dll DLL in Microsoft Visual Interdev 1.0 allows users to cause a denial of service or execute commands, aka the ""Link View Server-Side Component"" vulnerability.",user
CVE-2000-0261,Entry,The AVM KEN! web server allows remote attackers to read arbitrary files via a .. (dot dot) attack.,user
CVE-2000-0262,Entry,The AVM KEN! ISDN Proxy server allows remote attackers to cause a denial of service via a malformed request.,user
CVE-2000-0263,Entry,The X font server xfs in Red Hat Linux 6.x allows an attacker to cause a denial of service via a malformed request.,user
CVE-2000-0264,Entry,Panda Security 3.0 with registry editing disabled allows users to edit the registry and gain privileges by directly executing a .reg file or using other methods.,user
CVE-2000-0265,Entry,Panda Security 3.0 allows users to uninstall the Panda software via its Add/Remove Programs applet.,user
CVE-2000-0267,Entry,Cisco Catalyst 5.4.x allows a user to gain access to the "enable" mode without a password.,user
CVE-2000-0268,Entry,"Cisco IOS 11.x and 12.x allows remote attackers to cause a denial of service by sending the ENVIRON option to the Telnet daemon before it is ready to accept it, which causes the system to reboot.",user
CVE-2000-0272,Entry,RealNetworks RealServer allows remote attackers to cause a denial of service by sending malformed input to the server at port 7070.,user
CVE-2000-0273,Entry,PCAnywhere allows remote attackers to cause a denial of service by terminating the connection before PCAnywhere provides a login prompt.,user
CVE-2000-0274,Entry,The Linux trustees kernel patch allows attackers to cause a denial of service by accessing a file or directory with a long name.,user
CVE-2000-0276,Entry,BeOS 4.5 and 5.0 allow local users to cause a denial of service via malformed direct system calls using interrupt 37.,user
CVE-2000-0277,Entry,"Microsoft Excel 97 and 2000 does not warn the user when executing Excel Macro Language (XLM) macros in external text files, which could allow an attacker to execute a macro virus, aka the ""XLM Text Macro"" vulnerability.",user
CVE-2000-0278,Entry,"The SalesLogix Eviewer allows remote attackers to cause a denial of service by accessing the URL for the slxweb.dll administration program, which does not authenticate the user.",user
CVE-2000-0279,Entry,BeOS allows remote attackers to cause a denial of service via malformed packets whose length field is less than the length of the headers.,user
CVE-2000-0282,Entry,TalentSoft webpsvr daemon in the Web+ shopping cart application allows remote attackers to read arbitrary files via a .. (dot dot) attack on the webplus CGI program.,user
CVE-2000-0283,Entry,The default installation of IRIX Performance Copilot allows remote attackers to access sensitive system information via the pmcd daemon.,user
CVE-2000-0285,Entry,Buffer overflow in XFree86 3.3.x allows local users to execute arbitrary commands via a long -xkbmap parameter.,user
CVE-2000-0287,Entry,The BizDB CGI script bizdb-search.cgi allows remote attackers to execute arbitrary commands via shell metacharacters in the dbname parameter.,user
CVE-2000-0289,Entry,IP masquerading in Linux 2.2.x allows remote attackers to route UDP packets through the internal interface by modifying the external source IP address and port number to match those of an established connection.,user
CVE-2000-0290,Entry,Buffer overflow in Webstar HTTP server allows remote attackers to cause a denial of service via a long GET request.,user
CVE-2000-0292,Entry,"The Adtran MX2800 M13 Multiplexer allows remote attackers to cause a denial of service via a ping flood to the Ethernet interface, which causes the device to crash.",user
CVE-2000-0294,Entry,Buffer overflow in healthd for FreeBSD allows local users to gain root privileges.,root
CVE-2000-0296,Entry,fcheck allows local users to gain privileges by embedding shell metacharacters into file names that are processed by fcheck.,user
CVE-2000-0297,Entry,Allaire Forums 2.0.5 allows remote attackers to bypass access restrictions to secure conferences via the rightAccessAllForums or rightModerateAllForums variables.,user
CVE-2000-0298,Entry,The unattended installation of Windows 2000 with the OEMPreinstall option sets insecure permissions for the All Users and Default Users directories.,user
CVE-2000-0301,Entry,Ipswitch IMAIL server 6.02 and earlier allows remote attackers to cause a denial of service via the AUTH CRAM-MD5 command.,user
CVE-2000-0302,Entry,Microsoft Index Server allows remote attackers to view the source code of ASP files by appending a %20 to the filename in the CiWebHitsFile argument to the null.htw URL.,user
CVE-2000-0303,Entry,Quake3 Arena allows malicious server operators to read or modify files on a client via a dot dot (..) attack.,user
CVE-2000-0304,Entry,"Microsoft IIS 4.0 and 5.0 with the IISADMPWD virtual directory installed allows a remote attacker to cause a denial of service via a malformed request to the inetinfo.exe program, aka the ""Undelimited .HTR Request"" vulnerability.",user
CVE-2000-0305,Entry,"Windows 95, Windows 98, Windows 2000, Windows NT 4.0, and Terminal Server systems allow a remote attacker to cause a denial of service by sending a large number of identical fragmented IP packets, aka jolt2 or the ""IP Fragment Reassembly"" vulnerability.",user
CVE-2000-0306,Entry,Buffer overflow in calserver in SCO OpenServer allows remote attackers to gain root access via a long message.,root
CVE-2000-0307,Entry,Vulnerability in xserver in SCO UnixWare 2.1.x and OpenServer 5.05 and earlier allows an attacker to cause a denial of service which prevents access to reserved port numbers below 1024.,user
CVE-2000-0308,Entry,"Insecure file permissions for Netscape FastTrack Server 2.x, Enterprise Server 2.0, and Proxy Server 2.5 in SCO UnixWare 7.0.x and 2.1.3 allow an attacker to gain root privileges.",root
CVE-2000-0309,Entry,The i386 trace-trap handling in OpenBSD 2.4 with DDB enabled allows a local user to cause a denial of service.,user
CVE-2000-0310,Entry,IP fragment assembly in OpenBSD 2.4 allows a remote attacker to cause a denial of service by sending a large number of fragmented packets.,user
CVE-2000-0311,Entry,"The Windows 2000 domain controller allows a malicious user to modify Active Directory information by modifying an unprotected attribute, aka the ""Mixed Object Access"" vulnerability.",user
CVE-2000-0313,Entry,Vulnerability in OpenBSD 2.6 allows a local user to change interface media configurations.,user
CVE-2000-0314,Entry,"traceroute in NetBSD 1.3.3 and Linux systems allows local users to flood other systems by providing traceroute with a large waittime (-w) option, which is not parsed properly and sets the time delay for sending packets to zero.",user
CVE-2000-0315,Entry,"traceroute in NetBSD 1.3.3 and Linux systems allows local unprivileged users to modify the source address of the packets, which could be used in spoofing attacks.",user
CVE-2000-0316,Entry,Buffer overflow in Solaris 7 lp allows local users to gain root privileges via a long -d option.,root
CVE-2000-0318,Entry,Atrium Mercur Mail Server 3.2 allows local attackers to read other user's email and create arbitrary files via a dot dot (..) attack.,user
CVE-2000-0319,Entry,"mail.local in Sendmail 8.10.x does not properly identify the .\n string which identifies the end of message text, which allows a remote attacker to cause a denial of service or corrupt mailboxes via a message line that is 2047 characters long and ends in .\n.",user
CVE-2000-0320,Entry,"Qpopper 2.53 and 3.0 does not properly identify the \n string which identifies the end of message text, which allows a remote attacker to cause a denial of service or corrupt mailboxes via a message line that is 1023 characters long and ends in \n.",user
CVE-2000-0322,Entry,The passwd.php3 CGI script in the Red Hat Piranha Virtual Server Package allows local users to execute arbitrary commands via shell metacharacters.,user
CVE-2000-0323,Entry,"The Microsoft Jet database engine allows an attacker to modify text files via a database query, aka the ""Text I-ISAM"" vulnerability.",user
CVE-2000-0324,Entry,"pcAnywhere 8.x and 9.0 allows remote attackers to cause a denial of service via a TCP SYN scan, e.g. by nmap.",user
CVE-2000-0327,Entry,"Microsoft Virtual Machine (VM) allows remote attackers to escape the Java sandbox and execute commands via an applet containing an illegal cast operation, aka the ""Virtual Machine Verifier"" vulnerability.",user
CVE-2000-0328,Entry,"Windows NT 4.0 generates predictable random TCP initial sequence numbers (ISN), which allows remote attackers to perform spoofing and session hijacking.",user
CVE-2000-0329,Entry,"A Microsoft ActiveX control allows a remote attacker to execute a malicious cabinet file via an attachment and an embedded script in an HTML mail, aka the ""Active Setup Control"" vulnerability.",user
CVE-2000-0330,Entry,"The networking software in Windows 95 and Windows 98 allows remote attackers to execute commands via a long file name string, aka the ""File Access URL"" vulnerability.",user
CVE-2000-0331,Entry,"Buffer overflow in Microsoft command processor (CMD.EXE) for Windows NT and Windows 2000 allows a local user to cause a denial of service via a long environment variable, aka the ""Malformed Environment Variable"" vulnerability.",user
CVE-2000-0332,Entry,UltraBoard.pl or UltraBoard.cgi CGI scripts in UltraBoard 1.6 allows remote attackers to read arbitrary files via a pathname string that includes a dot dot (..) and ends with a null byte.,user
CVE-2000-0334,Entry,"The Allaire Spectra container editor preview tool does not properly enforce object security, which allows an attacker to conduct unauthorized activities via an object-method that is added to the container object with a publishing rule.",user
CVE-2000-0335,Entry,"The resolver in glibc 2.1.3 uses predictable IDs, which allows a local attacker to spoof DNS query results.",user
CVE-2000-0336,Entry,Linux OpenLDAP server allows local users to modify arbitrary files via a symlink attack.,user
CVE-2000-0337,Entry,Buffer overflow in Xsun X server in Solaris 7 allows local users to gain root privileges via a long -dev parameter.,root
CVE-2000-0338,Entry,"Concurrent Versions Software (CVS) uses predictable temporary file names for locking, which allows local users to cause a denial of service by creating the lock directory before it is created for use by a legitimate CVS user.",user
CVE-2000-0339,Entry,"ZoneAlarm 2.1.10 and earlier does not filter UDP packets with a source port of 67, which allows remote attackers to bypass the firewall rules.",user
CVE-2000-0340,Entry,Buffer overflow in Gnomelib in SuSE Linux 6.3 allows local users to execute arbitrary commands via the DISPLAY environmental variable.,user
CVE-2000-0341,Entry,ATRIUM Cassandra NNTP Server 1.10 allows remote attackers to cause a denial of service via a long login name.,user
CVE-2000-0342,Entry,"Eudora 4.x allows remote attackers to bypass the user warning for executable attachments such as .exe, .com, and .bat by using a .lnk file that refers to the attachment, aka ""Stealth Attachment.""",user
CVE-2000-0344,Entry,The knfsd NFS server in Linux kernel 2.2.x allows remote attackers to cause a denial of service via a negative size value.,user
CVE-2000-0346,Entry,AppleShare IP 6.1 and later allows a remote attacker to read potentially sensitive information via an invalid range request to the web server.,user
CVE-2000-0347,Entry,Windows 95 and Windows 98 allow a remote attacker to cause a denial of service via a NetBIOS session request packet with a NULL source name.,user
CVE-2000-0348,Entry,A vulnerability in the Sendmail configuration file sendmail.cf as installed in SCO UnixWare 7.1.0 and earlier allows an attacker to gain root privileges.,root
CVE-2000-0349,Entry,Vulnerability in the passthru driver in SCO UnixWare 7.1.0 allows an attacker to cause a denial of service.,user
CVE-2000-0350,Entry,"A debugging feature in NetworkICE ICEcap 2.0.23 and earlier is enabled, which allows a remote attacker to bypass the weak authentication and post unencrypted events.",user
CVE-2000-0351,Entry,"Some packaging commands in SCO UnixWare 7.1.0 have insecure privileges, which allows local users to add or remove software packages.",user
CVE-2000-0352,Entry,"Pine before version 4.21 does not properly filter shell metacharacters from URLs, which allows remote attackers to execute arbitrary commands via a malformed URL.",user
CVE-2000-0353,Entry,"Pine 4.x allows a remote attacker to execute arbitrary commands via an index.html file which executes lynx and obtains a uudecoded file from a malicious web server, which is then executed by Pine.",user
CVE-2000-0354,Entry,mirror 2.8.x in Linux systems allows remote attackers to create files one level above the local target directory.,user
CVE-2000-0356,Entry,Pluggable Authentication Modules (PAM) in Red Hat Linux 6.1 does not properly lock access to disabled NIS accounts.,user
CVE-2000-0359,Entry,Buffer overflow in Trivial HTTP (THTTPd) allows remote attackers to cause a denial of service or execute arbitrary commands via a long If-Modified-Since header.,user
CVE-2000-0360,Entry,Buffer overflow in INN 2.2.1 and earlier allows remote attackers to cause a denial of service via a maliciously formatted article.,user
